classifier,time_spent_log10_median_count,time_spent_log10_median_mean,time_spent_log10_median_std,time_spent_log10_median_min,time_spent_log10_median_25%,time_spent_log10_median_50%,time_spent_log10_median_75%,time_spent_log10_median_max,rank,tie,wins
adaboost,211.0,2.1682636610690493,1.2836180248243647,0.7808733039555158,1.159508722181329,1.7053199755361583,2.7880707570205514,6.0434698575874375,2.838862559241706,0.0,24.0
bernoulli_nb,210.0,1.1516309647448755,0.7220817073318938,0.7544944792823429,0.8043644050767476,0.8642872176576759,1.0753544935547112,5.799244030852986,11.89047619047619,0.0,0.0
decision_tree,211.0,1.224510510770793,0.8265419709226972,0.7414246796263559,0.7993680194764221,0.8735086704909514,1.1412883858124618,5.9090685256460915,11.597156398104266,0.0,0.0
extra_trees,211.0,1.9110065169436292,1.0873261146465756,1.1250426879043367,1.1856616045642916,1.4801275479836522,2.2197731054450043,6.294286860158126,3.758293838862559,0.0,2.0
gaussian_nb,210.0,1.1388729131895245,0.7394542173686349,0.7359823105476921,0.7699842065150813,0.8245826407341077,1.0874362388626464,5.765115673528564,14.67142857142857,0.0,0.0
gradient_boosting,211.0,2.0000936768317343,1.2774258248551915,0.8297019465471931,1.0491276771953981,1.4698645304114186,2.505839614971584,6.035320282804127,3.90521327014218,0.0,34.0
k_nearest_neighbors,209.0,1.437909251625677,1.1787361326110106,0.7460991445093861,0.7918153360800878,0.8802138430296625,1.5858397408892482,5.719525915421155,9.842105263157896,0.0,0.0
lda,210.0,1.2411480584098042,0.8071557419331146,0.7501585241447727,0.8082735878767586,0.8848916784543606,1.184755681687291,5.755294728850872,10.204761904761904,0.0,0.0
liblinear_svc,209.0,1.3907048041645056,1.0124472070674941,0.7484638871487936,0.8159789986384923,0.9496451329041385,1.4507542998013734,6.1989203835512905,8.392344497607656,0.0,1.0
libsvm_svc,204.0,1.8222974146221635,1.4743071526900065,0.7534014776147933,0.8201472796452036,1.177509723712942,2.1567229240620165,6.33315034247962,5.867647058823529,0.0,23.0
mlp,211.0,1.791757616734661,1.1075724756958516,0.8332953070735353,0.9879856267163687,1.390257673072938,2.1247259814377446,6.122174732701742,4.706161137440758,0.0,0.0
multinomial_nb,209.0,1.1358352530977212,0.7264356584082377,0.7306068548763628,0.767991446244864,0.8557941479501951,1.0884252374342531,4.9509925948296925,13.866028708133971,0.0,0.0
passive_aggressive,211.0,1.3187416765317195,0.9440616625650339,0.7429434863772275,0.8041218080827586,0.904778590230122,1.2972813339797309,5.8470797701602555,10.033175355450236,0.0,0.0
qda,207.0,1.2574946574024979,0.909648638386044,0.733961526407878,0.783729332138437,0.851487198014272,1.1799298772541622,5.839504356553754,12.502415458937199,0.0,0.0
random_forest,209.0,2.2820389349071863,1.2578130841296333,1.13146202281383,1.300543661566239,1.9042912049376857,2.8077314890400054,6.1797965775259875,1.6555023923444976,0.0,127.0
sgd,210.0,1.3623762078480113,1.0183134496567476,0.7457753635739879,0.7994867536661927,0.8999753911289845,1.3629533086565457,5.793005760481954,9.747619047619047,0.0,0.0
