pipelines,time_spent_log10_median_count,time_spent_log10_median_mean,time_spent_log10_median_std,time_spent_log10_median_min,time_spent_log10_median_25%,time_spent_log10_median_50%,time_spent_log10_median_75%,time_spent_log10_median_max,rank,tie,wins
libsvm_svc + random_trees_embedding,198.0,2.0122549793176834,1.4804448679484405,0.7716282192843602,0.8914786710658666,1.2881950968130453,2.654887285912897,6.246176682089238,42.98989898989899,0.0,4.0
libsvm_svc + select_percentile_classification,202.0,1.8542519089120755,1.5014567223273583,0.7375291653018203,0.8177136564432356,1.1202839327173668,2.245090515832703,6.339995196366678,58.663366336633665,0.0,2.0
libsvm_svc + select_rates_classification,197.0,1.7025370440382273,1.3614065802482345,0.6933011196233428,0.7728746090446604,1.0892544969462263,2.072439055358203,6.38422077854188,73.01522842639594,0.0,2.0
mlp + extra_trees_preproc_for_classification,209.0,1.8718537835833227,1.1028881806034367,0.9331993438387568,1.069117825877643,1.4855594079855075,2.1601699283030675,6.202324391323099,40.110047846889955,0.0,0.0
mlp + fast_ica,186.0,2.1542230781787275,1.2637500013632412,0.8731987342056703,1.1381863708501425,1.7816853161920947,2.868546828484452,6.346292165326481,24.086021505376344,0.0,0.0
mlp + feature_agglomeration,210.0,1.6024518162744865,1.0732292633763674,0.7423554348899439,0.858807006437831,1.1792921910353504,1.8213712623022609,5.98384021252592,63.86190476190476,0.0,0.0
mlp + liblinear_svc_preprocessor,202.0,1.5955384990698462,1.0164196971290083,0.7995059223591973,0.9400423199448588,1.2400546926623233,1.8460662906925176,6.290762975617922,52.54950495049505,0.0,1.0
mlp + no_preprocessing,210.0,1.7073288814710357,1.040976529761043,0.793657046895178,0.9960605174120418,1.3142452822413788,2.013981675909175,5.972223034209385,50.50952380952381,0.0,0.0
mlp + pca,207.0,1.4772437716309066,0.933029573689671,0.7544528870716918,0.9297679341064087,1.0836995632047444,1.5873576680799348,6.122174732701742,63.628019323671495,0.0,0.0
mlp + polynomial,183.0,2.5134445474021967,1.1026026943723992,0.89412744009566,1.7294801053877142,2.3199355682413776,2.937644681081731,6.121562013431866,11.278688524590164,0.0,15.0
mlp + random_trees_embedding,153.0,2.606013155409188,1.0680062335218985,1.0596444616880794,1.7396794646717624,2.561871819400436,3.2084854380372345,6.00874734375191,14.549019607843137,0.0,9.0
mlp + select_percentile_classification,206.0,1.8453404616258549,1.1559064603869118,0.7890768572984916,0.9575780780165214,1.4500071101231087,2.241513192718809,6.132985708212154,45.592233009708735,0.0,0.0
mlp + select_rates_classification,207.0,1.7445004009061618,1.3004631154710875,0.7576944892209958,0.8619134956638055,1.1697469730710344,2.073080346436238,6.219227819197975,56.28502415458937,0.0,0.0
multinomial_nb + random_trees_embedding,209.0,1.1358352530977214,0.7264356584082375,0.7306068548763628,0.767991446244864,0.8557941479501951,1.0884252374342531,4.9509925948296925,103.54545454545455,0.0,0.0
passive_aggressive + extra_trees_preproc_for_classification,210.0,1.383245885419906,1.0104446948302823,0.7857975447061715,0.8337364696315773,0.9618261737654266,1.4510702057761766,6.218301492293236,75.08571428571429,0.0,0.0
passive_aggressive + fast_ica,199.0,1.4968976563886764,1.160033080579931,0.7342722966714156,0.8229952930359796,0.9650253065779547,1.5726683515418542,6.284997429284099,67.56281407035176,0.0,3.0
passive_aggressive + feature_agglomeration,202.0,1.120560673223344,0.7457082332952435,0.7473476204216645,0.7913012204263835,0.8235815981748515,1.0093152558061318,5.755433416939614,97.77722772277228,0.0,0.0
passive_aggressive + kitchen_sinks,174.0,1.3729413655847145,0.8506977605768328,0.6816692948624982,0.8159354222619015,1.0562695534890287,1.6809881342572484,4.580740864879891,80.34482758620689,0.0,0.0
passive_aggressive + liblinear_svc_preprocessor,206.0,1.350396598793027,1.0593412127767892,0.6768561185549505,0.7618846934305165,0.843836596484931,1.3328980752753812,5.738914120374368,94.94660194174757,0.0,0.0
passive_aggressive + no_preprocessing,162.0,1.0663546915457367,0.7412792052684974,0.6821531239027046,0.7317447977840952,0.7751582033085412,0.9511111145775899,5.708400304917682,117.32716049382717,0.0,0.0
passive_aggressive + nystroem_sampler,205.0,1.6286007761262564,0.9922576059073215,0.7495807077074255,0.8339725266745242,1.401303379588566,2.012674055065888,5.472639889957557,62.4,0.0,0.0
passive_aggressive + pca,74.0,1.1103829112278032,0.7632764042385471,0.7457352140034308,0.7939438673027045,0.8339404448721882,1.0205872639826383,5.869653424727034,102.14864864864865,0.0,0.0
passive_aggressive + polynomial,182.0,1.5086278399699125,1.1591045319230313,0.7144611159472323,0.7680988246494371,0.974848384459328,1.7387816776512477,6.015003879498555,75.63736263736264,0.0,2.0
passive_aggressive + random_trees_embedding,74.0,1.1528070506596177,0.8664676619057372,0.672479831927389,0.7483958494609655,0.7915478180179517,1.1191395849386354,5.801873301346015,120.14864864864865,0.0,0.0
passive_aggressive + select_percentile_classification,211.0,1.196393387162006,0.8914733951949078,0.7332534490628768,0.7715215186508394,0.8104906688527839,1.1584643823032392,6.1350791242756095,102.08530805687204,0.0,0.0
passive_aggressive + select_rates_classification,203.0,1.341642539589144,1.228650274647845,0.6447882480900233,0.6870061837113057,0.7859488470404676,1.1875068256369739,6.052667310254069,111.3103448275862,0.0,0.0
qda + extra_trees_preproc_for_classification,199.0,1.4131010399328228,0.9852883144218414,0.7856674535231583,0.8897910646690199,0.971859981384394,1.3369250130399022,5.694047266694804,64.55778894472361,0.0,0.0
qda + fast_ica,199.0,1.473075604997372,1.1217315607534666,0.7548311313411942,0.8248755308041185,0.9458668106651069,1.4578100385647084,6.270727845161497,67.81909547738694,0.0,0.0
qda + feature_agglomeration,207.0,1.187699868873704,0.9715672191857221,0.6954563746679187,0.7404321122810669,0.791554151998398,0.9950814287889042,5.834674090433365,115.512077294686,0.0,0.0
qda + kitchen_sinks,206.0,2.181488361024414,1.3655574155730366,0.6891242068480357,1.007251826375767,1.819461939633943,3.0313831657599897,6.240526304869903,43.592233009708735,0.0,0.0
qda + liblinear_svc_preprocessor,201.0,1.3260950793740034,1.0160475420231445,0.7231115625679079,0.7673537325325066,0.8486458300415647,1.4020454983932988,6.0516262014902935,92.86567164179104,0.0,0.0
qda + no_preprocessing,204.0,1.1020073462168236,0.8183664697793955,0.7227706751080526,0.7621103219774736,0.7916120373500655,1.0018201977525596,5.857631988706538,110.13235294117646,0.0,0.0
qda + nystroem_sampler,207.0,2.140052750784412,1.2819573696396025,0.709231691558361,0.8480719296535697,1.9950866660302817,3.2938363888614415,5.940708586015634,52.27536231884058,0.0,0.0
qda + pca,206.0,1.08542235170334,0.7676938222685115,0.7179852247268943,0.7531633209449864,0.7847489665485294,0.9336991628689653,5.8700021780104965,116.17961165048544,0.0,0.0
qda + polynomial,178.0,1.2562435293400305,1.0237706812264091,0.705649880361525,0.748760978535204,0.8326014718680462,1.173156243721973,5.411647030303692,91.97191011235955,0.0,0.0
qda + select_percentile_classification,205.0,1.1591884321602808,0.926473538456115,0.6908977151652911,0.7376567742577098,0.7972062348156304,0.9976942954503886,5.862045167358181,113.42926829268292,0.0,0.0
qda + select_rates_classification,194.0,1.1311684330965828,0.8819342133524046,0.6848700054271576,0.766013639313008,0.8068813335817367,0.9491297475363292,6.181263166536883,112.78350515463917,0.0,0.0
random_forest + extra_trees_preproc_for_classification,206.0,2.1468011245414393,1.2393916953327178,1.1264256514929534,1.2669311429588141,1.6729283780205915,2.480483884722724,6.2589740439128985,24.66990291262136,0.0,0.0
random_forest + fast_ica,24.0,2.7406069116886393,1.4618971201384425,1.1824667318988178,1.4174735263836338,2.301478756331818,3.853503724834865,6.0071769413017995,6.041666666666667,0.0,0.0
random_forest + feature_agglomeration,71.0,2.0336950705040278,1.3086581754040447,1.1071558966685624,1.1829668391328096,1.3517310472416988,2.4185376587991714,6.359349570676391,21.95774647887324,0.0,0.0
